City_ID,City,Lat,Lng,Max Temp,Humidity,Cloudiness,Wind Speed,Country,Date
110,college,64.8569,-147.8028,10.04,92,100,7.2,US,1724357656
111,namibe,-15.1961,12.1522,19.99,84,100,2.91,AO,1724357658
112,san pedro pochutla,15.7333,-96.4667,32.84,63,75,3.08,MX,1724357660
113,haiku-pauwela,20.9219,-156.3051,27.36,76,20,9.77,US,1724357661
114,murzuq,25.9155,13.9184,35.57,27,0,4.76,LY,1724357662
115,jamestown,42.097,-79.2353,20.8,45,0,2.57,US,1724357566
116,tolanaro,-25.0319,46.9987,21.04,83,20,2.06,MG,1724357664
117,sisimiut,66.9395,-53.6735,6.58,64,100,4.48,GL,1724357666
118,khanapur,15.6333,74.5167,21.54,96,100,3.24,IN,1724357667
119,lakeview,42.432,-75.8655,20.89,55,0,2.24,US,1724357668
120,sariyahsi,38.9835,33.8414,25.31,36,0,2.4,TR,1724357669
121,ponta delgada,37.7333,-25.6667,25.4,78,20,5.66,PT,1724357670
122,suzhou,31.3114,120.6181,26.75,83,0,1.48,CN,1724357587
123,laguna,38.421,-121.4238,26.77,51,0,5.66,US,1724357673
124,mount isa,-20.7333,139.5,9.87,71,0,0.0,AU,1724357674
125,alofi,-19.0595,-169.9187,22.94,88,75,7.2,NU,1724357675
126,jinxiang,27.4327,120.6062,26.44,89,6,1.16,CN,1724357676
127,mermoz boabab,14.7065,-17.4758,28.88,79,75,1.03,SN,1724357677
128,kozhevnikovo,56.2589,83.9714,14.25,88,66,1.16,RU,1724357679
129,fada,7.25,4.0667,22.95,97,100,1.57,NG,1724357680
130,akureyri,65.6835,-18.0878,5.96,93,100,8.75,IS,1724357681
131,dakhla,23.6848,-15.958,23.01,78,12,8.75,EH,1724357682
132,burang,30.25,81.1667,9.96,84,100,2.79,CN,1724357683
133,malakal,9.5334,31.6605,20.83,98,63,2.15,SS,1724357684
134,bac lieu,9.285,105.7244,27.38,80,93,2.17,VN,1724357688
135,kavaratti,10.5669,72.642,26.18,88,78,5.02,IN,1724357689
136,bilibino,68.0546,166.4372,3.1,99,100,2.2,RU,1724357690
137,severnoye,56.3491,78.3619,12.81,93,77,2.82,RU,1724357691
138,qaqortoq,60.7167,-46.0333,6.65,70,40,2.14,GL,1724357692
139,kayangel,8.0823,134.7173,28.78,75,69,4.65,PW,1724357693
140,piacabucu,-10.4056,-36.4344,24.78,80,28,4.66,BR,1724357695
141,faya-largeau,17.9257,19.1043,36.14,35,22,6.69,TD,1724357696
142,tiksi,71.6872,128.8694,2.92,95,37,3.12,RU,1724357697
143,minas de marcona,-15.2119,-75.1103,10.77,90,99,9.9,PE,1724357698
144,at taj,24.2049,23.2857,36.16,16,0,5.87,LY,1724357699
145,nuku'alofa,-21.1333,-175.2,22.19,88,40,7.72,TO,1724357700
146,kruisfontein,-34.0033,24.7314,9.85,69,100,7.02,ZA,1724357702
147,rayong,12.8333,101.4333,29.33,90,100,1.03,TH,1724357703
148,whitehorse,60.7161,-135.0538,9.89,93,100,1.03,CA,1724357704
149,newman,37.3138,-121.0208,31.55,19,0,3.44,US,1724357705
150,bozoum,6.3193,16.3799,20.85,95,100,0.53,CF,1724357706
151,mahajanga,-15.7167,46.3167,23.01,56,20,3.09,MG,1724357708
152,howard springs,-12.497,131.047,24.95,76,6,1.44,AU,1724357709
153,puerto aysen,-45.4,-72.7,6.41,94,100,1.03,CL,1724357710
154,vilyuchinsk,52.9306,158.4028,13.15,81,96,2.55,RU,1724357711
155,el quebrachal,-25.2833,-64.0667,15.17,43,74,4.8,AR,1724357712
